id,code,section,name,main,sub,type,cat.scale,cat.ref,cat.ord,cont.mean,cont.sd,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
5,A01,A,landlord,landlord,"",categorical,a,No,FALSE,,,,,,,,Do you own a woodlot in Canada ?,""
6,A02,A,woodlotsNumber,woodlotsNumber,"",categorical,b,1,TRUE,,,1,0,0,0,0,How many woodlots do you own in Canada ?,""
7,A03,A,woodlotSize,woodlotSize,"",continuous,,,,154.237319199766,660.286307634398,1,0,0,0,0,What is the surface of your woodlot?  [Hectares],""
8,A04,A,coOwnership,coOwnership,"",categorical,c,No,FALSE,,,1,0,0,0,0,"Is your woodlot a joint possession (co-ownership, for instance with relatives)?",""
9,A05,A,provinces_Alberta,provinces,Alberta,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
10,A06,A,provinces_British_Columbia,provinces,British_Columbia,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
11,A07,A,provinces_Prince_Edward_Island,provinces,Prince_Edward_Island,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
12,A08,A,provinces_Manitoba,provinces,Manitoba,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
13,A09,A,provinces_New_Brunswick,provinces,New_Brunswick,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
14,A10,A,provinces_Nova_Scotia,provinces,Nova_Scotia,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
15,A11,A,provinces_Nunavut,provinces,Nunavut,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
16,A12,A,provinces_Ontario,provinces,Ontario,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
17,A13,A,provinces_Quebec,provinces,Quebec,categorical,a,Yes,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
18,A14,A,provinces_Saskatchewan,provinces,Saskatchewan,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
