id,section,code,name,main,sub,type,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
5,A,A01,landlord,landlord,,categorical,,,,,,Do you own a woodlot in Canada ?,""
6,A,A02,woodlotsNumber,woodlotsNumber,,categorical,1,0,0,0,0,How many woodlots do you own in Canada ?,""
7,A,A03,woodlotSize,woodlotSize,,continuous,1,0,0,0,0,What is the surface of your woodlot?  [Hectares],""
8,A,A04,coOwnership,coOwnership,,categorical,1,0,0,0,0,"Is your woodlot a joint possession (co-ownership, for instance with relatives)?",""
9,A,A05,provinces_Alberta,provinces,Alberta,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
10,A,A06,provinces_British_Columbia,provinces,British_Columbia,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
11,A,A07,provinces_Prince_Edward_Island,provinces,Prince_Edward_Island,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
12,A,A08,provinces_Manitoba,provinces,Manitoba,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
13,A,A09,provinces_New_Brunswick,provinces,New_Brunswick,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
14,A,A10,provinces_Nova_Scotia,provinces,Nova_Scotia,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
15,A,A11,provinces_Nunavut,provinces,Nunavut,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
16,A,A12,provinces_Ontario,provinces,Ontario,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
17,A,A13,provinces_Quebec,provinces,Quebec,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
18,A,A14,provinces_Saskatchewan,provinces,Saskatchewan,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
19,A,A15,provinces_Newfoundland_and_Labrador,provinces,Newfoundland_and_Labrador,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
20,A,A16,provinces_Northwest_Territories,provinces,Northwest_Territories,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
21,A,A17,provinces_Yukon,provinces,Yukon,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
22,A,A18,plotAgeDistrib_SQ002,plotAgeDistrib,SQ002,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Older forest stands that can be harvested and regenerated in the next 20 years
23,A,A19,plotAgeDistrib_SQ003,plotAgeDistrib,SQ003,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Mature forest stands, in active growth phase, harvestable in more than 20 years"
24,A,A20,plotAgeDistrib_SQ004,plotAgeDistrib,SQ004,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Young forest stands, planted or from natural regeneration for less than 20 years"
25,A,A21,plotAgeDistrib_SQ005,plotAgeDistrib,SQ005,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Recent forest cuts, not yet replanted or naturally regenerated"
26,A,A22,plotAgeDistrib_SQ006,plotAgeDistrib,SQ006,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Multi-age forest stands
27,A,A23,forestReasons_SQ001,forestReasons,SQ001,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Selling wood
28,A,A24,forestReasons_SQ002,forestReasons,SQ002,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Harvesting firewood
29,A,A25,forestReasons_SQ003,forestReasons,SQ003,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Leaving an inheritance for my children
30,A,A26,forestReasons_SQ004,forestReasons,SQ004,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Protecting forest ecosystems
31,A,A27,forestReasons_SQ005,forestReasons,SQ005,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Having nice landscapes
32,A,A28,forestReasons_SQ006,forestReasons,SQ006,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Carbon sequestration
33,A,A29,forestReasons_SQ007,forestReasons,SQ007,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,For investing in or having a pension fund
34,A,A30,forestReasons_SQ008,forestReasons,SQ008,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,The woodlot is adjacent to my home
35,A,A31,forestReasons_SQ009,forestReasons,SQ009,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"Hunting, trapping or fishing"
36,A,A32,forestReasons_SQ010,forestReasons,SQ010,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"For recreational purposes other than hunting, trapping or fishing (eg, quad bikes, skidoo, etc)"
37,A,A33,forestReasons_SQ011,forestReasons,SQ011,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"Harvesting non-timber products (eg, mushrooms, honey, berries, etc)"
38,A,A34,forestReasons_SQ012,forestReasons,SQ012,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Protecting water quality
39,A,A35,forestReasons_SQ013,forestReasons,SQ013,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Preventing soil erosion
40,A,A36,forestReasons_SQ014,forestReasons,SQ014,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Growing Christmas trees
41,A,A37,forestReasons_SQ015,forestReasons,SQ015,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Producing maple syrup
42,A,A38,forestReasonsExplain,forestReasonsExplain,,qualitative,,,,,,Please provide any comments you may have on the previous questions You can also jump to the following question,""
43,A,A39,forestManager_SQ005,forestManager,SQ005,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",My woodlots are not managed
44,A,A40,forestManager_SQ001,forestManager,SQ001,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",I decide everything by myself
45,A,A41,forestManager_SQ002,forestManager,SQ002,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?","I make decisions together with people close to me (relatives, friends, other co-owners)"
46,A,A42,forestManager_SQ003,forestManager,SQ003,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?","I seek advice from a forestry professional (eg, forest engineer, logging contractor services, etc)"
47,A,A43,forestManager_SQ004,forestManager,SQ004,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",I delegate every decisions to others
48,A,A44,forestManager_other,forestManager,other,qualitative,,,,,,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",Other
49,A,A45,delegateMgmtWhy_SQ002,delegateMgmtWhy,SQ002,categorical,,,,,,Why do you delegate every decisions to others?,I do not want to manage by myself
50,A,A46,delegateMgmtWhy_SQ003,delegateMgmtWhy,SQ003,categorical,,,,,,Why do you delegate every decisions to others?,I do not have time
51,A,A47,delegateMgmtWhy_SQ004,delegateMgmtWhy,SQ004,categorical,,,,,,Why do you delegate every decisions to others?,I do not have the financial means
52,A,A48,delegateMgmtWhy_SQ005,delegateMgmtWhy,SQ005,categorical,,,,,,Why do you delegate every decisions to others?,I do not know enough about how to manage a woodlot
53,A,A49,delegateMgmtWhy_SQ006,delegateMgmtWhy,SQ006,categorical,,,,,,Why do you delegate every decisions to others?,My woodlots are difficult to access
54,A,A50,delegateMgmtWhy_SQ007,delegateMgmtWhy,SQ007,categorical,,,,,,Why do you delegate every decisions to others?,I do not have the equipment or workers available
55,A,A51,delegateMgmtLater,delegateMgmtLater,,categorical,1,0,0,0,0,"Now thinking ahead, do you intend to take part to the decision-management over the next ten years?",""
56,A,A52,noMgmtLaterWhy_SQ002,noMgmtLaterWhy,SQ002,categorical,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not want to manage by myself
57,A,A53,noMgmtLaterWhy_SQ003,noMgmtLaterWhy,SQ003,categorical,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not have time
58,A,A54,noMgmtLaterWhy_SQ004,noMgmtLaterWhy,SQ004,categorical,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not have the financial means
59,A,A55,noMgmtLaterWhy_SQ005,noMgmtLaterWhy,SQ005,categorical,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not know enough about how to manage a woodlot
60,A,A56,noMgmtLaterWhy_SQ006,noMgmtLaterWhy,SQ006,categorical,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,My woodlots are difficult to access
61,A,A57,noMgmtLaterWhy_SQ007,noMgmtLaterWhy,SQ007,categorical,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not have the equipment or workers available
62,A,A58,infoSources_SQ001,infoSources,SQ001,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Meetings of forest owner groups or associations
63,A,A59,infoSources_SQ002,infoSources,SQ002,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Forestry newsletters and/or magazines
64,A,A60,infoSources_SQ003,infoSources,SQ003,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,"Internet (forums, Facebook, Twitter, etc)"
65,A,A61,infoSources_SQ004,infoSources,SQ004,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Conferences and training
66,A,A62,infoSources_SQ005,infoSources,SQ005,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Scientific articles
67,A,A63,infoSources_SQ006,infoSources,SQ006,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Discussions with other forest owners
68,A,A64,infoSources_SQ007,infoSources,SQ007,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Forest engineers/advisors
69,A,A65,infoSources_SQ008,infoSources,SQ008,categorical,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,"Relatives, friends, other co-owners"
70,A,A66,commentsA,commentsA,,qualitative,,,,,,"If you would like to, you may explain your answers (reasons to own forests, who decides for the woodlots management, information sources, …) ",""
71,B,B01,pastChangeRegen,pastChangeRegen,,categorical,1,0,0,0,0,How has the regeneration of your forests changed since 2010?,""
72,B,B02,pastChangeSpecies_SQ001,pastChangeSpecies,SQ001,categorical,1,0,0,0,0,How has the species composition of your woodlots changed since 2010?,I have tried to increase the diversity of species in my forests
73,B,B03,pastChangeSpecies_SQ002,pastChangeSpecies,SQ002,categorical,1,0,0,0,0,How has the species composition of your woodlots changed since 2010?,I have modified part of my woodlot to favor a single species
74,B,B04,pastChangeSpecies_SQ003,pastChangeSpecies,SQ003,categorical,1,0,0,0,0,How has the species composition of your woodlots changed since 2010?,I have not changed anything
75,B,B05,pastChangePlantSelec_SQ001,pastChangePlantSelec,SQ001,categorical,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,This question does not concern me as I have not planted any trees since 2010
76,B,B06,pastChangePlantSelec_SQ002,pastChangePlantSelec,SQ002,categorical,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,I have chosen my seedlings based on wood productivity
77,B,B07,pastChangePlantSelec_SQ003,pastChangePlantSelec,SQ003,categorical,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,"I have chosen my seedlings as to anticipate various risks (drought, insects, etc)"
78,B,B08,pastChangePlantSelec_SQ005,pastChangePlantSelec,SQ005,categorical,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,"I wish I could find or buy seedlings from new species, but I cannot"
79,B,B09,pastChangePlantSelec_SQ004,pastChangePlantSelec,SQ004,categorical,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,I have not changed my criteria
80,B,B10,pastChangePlantSelec_other,pastChangePlantSelec,other,qualitative,,,,,,Have you changed your species selection criteria for planting trees since 2010?,Other
81,B,B11,plantSelecReasons_SQ001,plantSelecReasons,SQ001,categorical,1,0,0,0,0,Have you chosen your seedlings to …,Introduce exotic species?
82,B,B12,plantSelecReasons_SQ002,plantSelecReasons,SQ002,categorical,1,0,0,0,0,Have you chosen your seedlings to …,Introduce local species coming from southern populations (assisted migration)?
83,B,B13,pastChangeCut_SQ001,pastChangeCut,SQ001,categorical,1,0,0,0,0,How have you changed your logging methods since 2010 ?,Removal rate of partial/regeneration/commercial thinning
84,B,B14,pastChangeCut_SQ002,pastChangeCut,SQ002,categorical,1,0,0,0,0,How have you changed your logging methods since 2010 ?,Frequency of harvesting
85,B,B15,pastChangeCut_SQ003,pastChangeCut,SQ003,categorical,1,0,0,0,0,How have you changed your logging methods since 2010 ?,Share of the woodlot destined for clearcut
86,B,B16,pastChangeChemicals_SQ002,pastChangeChemicals,SQ002,categorical,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I started using fertilizers and/or liming
87,B,B17,pastChangeChemicals_SQ003,pastChangeChemicals,SQ003,categorical,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I stopped using fertilizers and/or liming
88,B,B18,pastChangeChemicals_SQ004,pastChangeChemicals,SQ004,categorical,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I started using pesticides
89,B,B19,pastChangeChemicals_SQ005,pastChangeChemicals,SQ005,categorical,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I stopped using pesticides
90,B,B20,pastChangeChemicals_SQ006,pastChangeChemicals,SQ006,categorical,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I have not changed anything
91,B,B21,pastChangeConservati_SQ001,pastChangeConservati,SQ001,categorical,1,0,0,0,0,Have you made changes related to conservation in your woodlots since 2010?,Retention of old or dead trees
92,B,B22,pastChangeConservati_SQ002,pastChangeConservati,SQ002,categorical,1,0,0,0,0,Have you made changes related to conservation in your woodlots since 2010?,"Classification of some or all of my woodlot as a protected area (private nature reserve, conservation easement, gift, purchase or lease to a land conservation organism, )"
93,B,B23,pastChangeReasons_SQ002,pastChangeReasons,SQ002,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,To achieve the goals of my forest management plan
94,B,B24,pastChangeReasons_SQ003,pastChangeReasons,SQ003,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,"New machinery and/or technology (ex: logging equipment, drone inventories, etc) have contributed to change my practices"
95,B,B25,pastChangeReasons_SQ004,pastChangeReasons,SQ004,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,Easier access to my woodlots have contributed to change my practices
96,B,B26,pastChangeReasons_SQ005,pastChangeReasons,SQ005,categorical,0,1,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,"The consequences of a natural disaster (drought, flooding, disease, etc)"
97,B,B27,pastChangeReasons_SQ006,pastChangeReasons,SQ006,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,"To prevent the impacts of a natural hazard (drought, flooding, disease, etc)"
98,B,B28,pastChangeReasons_SQ007,pastChangeReasons,SQ007,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,To reduce management costs
99,B,B29,pastChangeReasons_SQ008,pastChangeReasons,SQ008,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,To benefit from governmental incentives
100,B,B30,pastChangeReasons_SQ009,pastChangeReasons,SQ009,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,At the request of my relatives or neighbors
101,B,B31,pastChangeReasons_SQ010,pastChangeReasons,SQ010,categorical,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,On the advice of a forest engineer or a forest company
102,B,B32,pastChangeReasonsOth,pastChangeReasonsOth,,qualitative,,,,,,"If you can think of other reasons that motivated your management changes, you can specify them here",""
103,B,B33,future_SQ002,future,SQ002,categorical,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,Public perception of timber harvesting will not change my forest management
104,B,B34,future_SQ003,future,SQ003,categorical,0,0,1,0,0,Let’s now take a look at the future How much do you agree with the following statements?,Game populations in excess threaten the regeneration of my trees
105,B,B35,future_SQ004,future,SQ004,categorical,0,1,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I am concerned about future damage to trees from insects and/or diseases
106,B,B36,future_SQ005,future,SQ005,categorical,0,1,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I am concerned about the impacts of climate change on my woodlots
107,B,B37,future_SQ006,future,SQ006,categorical,0,1,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,Climate change provides an opportunity to achieve my forest management goals
108,B,B38,future_SQ001,future,SQ001,categorical,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I would like to log more trees in my forests
109,B,B39,future_SQ008,future,SQ008,categorical,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I would like to sell forest carbon credits
110,B,B40,future_SQ007,future,SQ007,categorical,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I would like to see a part of my forest become a protected area
111,B,B41,futureOpportunWhy,futureOpportunWhy,,qualitative,,,,,,Could you please specify why climate change would be an opportunity for you?,""
112,B,B42,commentsB,commentsB,,qualitative,,,,,,"If you would like to, please detail the answers to the previous questions (changes in your forest management since 2010)",""
113,D,D01,mgmtChangeACC_A,mgmtChangeACC,A,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Decrease stand density
114,D,D02,mgmtChangeACC_B,mgmtChangeACC,B,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Log more frequently
115,D,D03,mgmtChangeACC_C,mgmtChangeACC,C,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Increase the number of species (diversification)
116,D,D04,mgmtChangeACC_D,mgmtChangeACC,D,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Replace species (ex: introduction of new species, assisted migration, etc)"
117,D,D05,mgmtChangeACC_E,mgmtChangeACC,E,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Let nature do its work
118,D,D06,mgmtChangeACC_F,mgmtChangeACC,F,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Increase the use of pesticides or chemical fertilizers
119,D,D07,mgmtChangeACC_G,mgmtChangeACC,G,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Practice prescribed burning, reduce fuel load"
120,D,D08,mgmtChangeACC_H,mgmtChangeACC,H,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Prepare the soil (ex: drainage)
121,D,D09,mgmtChangeACC_I,mgmtChangeACC,I,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Buy an insurance against wildfire, frost, hail, windstorms, etc"
122,D,D10,mgmtChangeACC_J,mgmtChangeACC,J,categorical,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Diversify my forest revenue: development of recreation/tourism activities, enrollment in payment for carbon credits programs, etc"
123,D,D11,mgmtChangeACCWhyNo_SQ008,mgmtChangeACCWhyNo,SQ008,categorical,1,0,0,0,0,Why do you prefer not to implement any measures?,I do not want to
124,D,D12,mgmtChangeACCWhyNo_SQ002,mgmtChangeACCWhyNo,SQ002,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have time
125,D,D13,mgmtChangeACCWhyNo_SQ003,mgmtChangeACCWhyNo,SQ003,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have the financial means
126,D,D14,mgmtChangeACCWhyNo_SQ004,mgmtChangeACCWhyNo,SQ004,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not know enough about how to manage a woodlot
127,D,D15,mgmtChangeACCWhyNo_SQ005,mgmtChangeACCWhyNo,SQ005,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,My woodlots are difficult to access
128,D,D16,mgmtChangeACCWhyNo_SQ006,mgmtChangeACCWhyNo,SQ006,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have the equipment or workers available
129,D,D17,mgmtChangeACCWhyNo_SQ007,mgmtChangeACCWhyNo,SQ007,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I am uncertain whether these measures will work
130,D,D18,mgmtChangeACCWhyNo_SQ010,mgmtChangeACCWhyNo,SQ010,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have support nor guidance
131,D,D19,mgmtChangeACCWhyNo_SQ009,mgmtChangeACCWhyNo,SQ009,categorical,0,0,1,0,0,Why do you prefer not to implement any measures?,I don’t feel capable to implement these measures
132,D,D20,ACCIntended_A,ACCIntended,A,categorical,0,1,0,0,0,Do you intend to make changes to the management of your woodlots because:,You feel concerned about the impacts of climate change on your woodlots?
133,D,D21,ACCIntended_B,ACCIntended,B,categorical,0,1,0,0,0,Do you intend to make changes to the management of your woodlots because:,Climate change provides an opportunity to achieve your forest management goals?
134,D,D22,ACCEfficiency_SQ002,ACCEfficiency,SQ002,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Decrease stand density
135,D,D23,ACCEfficiency_SQ003,ACCEfficiency,SQ003,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Log more frequently
136,D,D24,ACCEfficiency_SQ004,ACCEfficiency,SQ004,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Increase the number of species (diversification)
137,D,D25,ACCEfficiency_SQ005,ACCEfficiency,SQ005,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Replace species (ex: introduction of new species, assisted migration, etc)"
138,D,D26,ACCEfficiency_SQ006,ACCEfficiency,SQ006,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Let nature do its work
139,D,D27,ACCEfficiency_SQ007,ACCEfficiency,SQ007,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Increase the use of pesticides or chemical fertilizers
140,D,D28,ACCEfficiency_SQ008,ACCEfficiency,SQ008,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Practice prescribed burning, reduce fuel load "
141,D,D29,ACCEfficiency_SQ009,ACCEfficiency,SQ009,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Prepare the soil (ex: drainage)
142,D,D30,ACCEfficiency_SQ010,ACCEfficiency,SQ010,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Buy an insurance against wildfire, frost, hail, windstorms, etc"
143,D,D31,ACCEfficiency_SQ011,ACCEfficiency,SQ011,categorical,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Diversify my forest revenue: development of recreation/tourism activities, enrollment in payment for carbon sequestration programs, etc"
144,D,D32,ACCAssistance_A,ACCAssistance,A,categorical,0,0,1,0,0,What assistance would you need to adapt to climate change in your woodlots?,Financial or tax incentives
145,D,D33,ACCAssistance_B,ACCAssistance,B,categorical,0,0,1,0,0,What assistance would you need to adapt to climate change in your woodlots?,Better access to information or training
146,D,D34,ACCAssistance_C,ACCAssistance,C,categorical,0,0,1,0,0,What assistance would you need to adapt to climate change in your woodlots?,Better access to the assistance of forest advisors (engineers or technicians)
147,D,D35,ACCAssistance_D,ACCAssistance,D,categorical,0,0,1,0,0,What assistance would you need to adapt to climate change in your woodlots?,Increased public awareness on forests and climate change
