id,name,main,sub,type,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
5,landlord,landlord,NA,categorical,NA,NA,NA,NA,NA,Do you own a woodlot in Canada ?,
6,woodlotsNumber,woodlotsNumber,NA,categorical,1,0,0,0,0,How many woodlots do you own in Canada ?,
7,woodlotSize,woodlotSize,NA,continuous,1,0,0,0,0,What is the surface of your woodlot?  [Hectares],
8,coOwnership,coOwnership,NA,categorical,1,0,0,0,0,"Is your woodlot a joint possession (co-ownership, for instance with relatives)?",
9,provinces_Alberta,provinces,Alberta,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
10,provinces_British_Columbia,provinces,British_Columbia,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
11,provinces_Prince_Edward_Island,provinces,Prince_Edward_Island,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
12,provinces_Manitoba,provinces,Manitoba,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
13,provinces_New_Brunswick,provinces,New_Brunswick,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
14,provinces_Nova_Scotia,provinces,Nova_Scotia,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
15,provinces_Nunavut,provinces,Nunavut,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
16,provinces_Ontario,provinces,Ontario,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
17,provinces_Quebec,provinces,Quebec,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
18,provinces_Saskatchewan,provinces,Saskatchewan,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
19,provinces_Newfoundland_and_Labrador,provinces,Newfoundland_and_Labrador,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
20,provinces_Northwest_Territories,provinces,Northwest_Territories,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
21,provinces_Yukon,provinces,Yukon,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
22,plotAgeDistrib_SQ002,plotAgeDistrib,SQ002,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Older forest stands that can be harvested and regenerated in the next 20 years
23,plotAgeDistrib_SQ003,plotAgeDistrib,SQ003,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Mature forest stands, in active growth phase, harvestable in more than 20 years"
24,plotAgeDistrib_SQ004,plotAgeDistrib,SQ004,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Young forest stands, planted or from natural regeneration for less than 20 years"
25,plotAgeDistrib_SQ005,plotAgeDistrib,SQ005,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Recent forest cuts, not yet replanted or naturally regenerated"
26,plotAgeDistrib_SQ006,plotAgeDistrib,SQ006,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Multi-age forest stands
27,forestReasons_SQ001,forestReasons,SQ001,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Selling wood
28,forestReasons_SQ002,forestReasons,SQ002,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Harvesting firewood
29,forestReasons_SQ003,forestReasons,SQ003,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Leaving an inheritance for my children
