id,name,type,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
5,landlord,categorical,NA,NA,NA,NA,NA,Do you own a woodlot in Canada ?,
6,woodlotsNumber,categorical,1,0,0,0,0,How many woodlots do you own in Canada ?,
7,woodlotSize_SQ001,continuous,1,0,0,0,0,What is the surface of your woodlot?  [Hectares,
8,coOwnership,categorical,1,0,0,0,0,"Is your woodlot a joint possession (co-ownership, for instance with relatives)?",
9,provinces_Alberta,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
10,provinces_British_Columbia,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
11,provinces_Prince_Edward_Island,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
12,provinces_Manitoba,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
13,provinces_New_Brunswick,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
14,provinces_Nova_Scotia,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
15,provinces_Nunavut,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
16,provinces_Ontario,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
17,provinces_Quebec,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
18,provinces_Saskatchewan,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
19,provinces_Newfoundland_and_Labrador,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
20,provinces_Northwest_Territories,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
21,provinces_Yukon,categorical,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,
22,plotAgeDistrib_SQ002,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Older forest stands that can be harvested and regenerated in the next 20 years
23,plotAgeDistrib_SQ003,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Mature forest stands, in active growth phase, harvestable in more than 20 years"
24,plotAgeDistrib_SQ004,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Young forest stands, planted or from natural regeneration for less than 20 years"
25,plotAgeDistrib_SQ005,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Recent forest cuts, not yet replanted or naturally regenerated"
26,plotAgeDistrib_SQ006,continuous,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Multi-age forest stands
27,forestReasons_SQ001,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Selling wood
28,forestReasons_SQ002,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Harvesting firewood
29,forestReasons_SQ003,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Leaving an inheritance for my children
30,forestReasons_SQ004,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Protecting forest ecosystems
31,forestReasons_SQ005,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Having nice landscapes
32,forestReasons_SQ006,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Carbon sequestration
33,forestReasons_SQ007,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,For investing in or having a pension fund
34,forestReasons_SQ008,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,The woodlot is adjacent to my home
35,forestReasons_SQ009,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"Hunting, trapping or fishing"
36,forestReasons_SQ010,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"For recreational purposes other than hunting, trapping or fishing (eg, quad bikes, skidoo, etc)"
37,forestReasons_SQ011,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"Harvesting non-timber products (eg, mushrooms, honey, berries, etc)"
38,forestReasons_SQ012,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Protecting water quality
39,forestReasons_SQ013,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Preventing soil erosion
40,forestReasons_SQ014,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Growing Christmas trees
41,forestReasons_SQ015,categorical,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Producing maple syrup
42,forestReasonsExplain,qualitative,NA,NA,NA,NA,NA,Please provide any comments you may have on the previous questions You can also jump to the following question,
43,forestManager_SQ005,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",My woodlots are not managed
44,forestManager_SQ001,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",I decide everything by myself
45,forestManager_SQ002,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?","I make decisions together with people close to me (relatives, friends, other co-owners)"
46,forestManager_SQ003,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?","I seek advice from a forestry professional (eg, forest engineer, logging contractor services, etc)"
47,forestManager_SQ004,categorical,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",I delegate every decisions to others
