resp,size,size.sel,expl,selected,count.sel,cv_prop,elpd,elpd.lq,elpd.uq,elpd.se,diff,diff.lq,diff.uq,diff.se
D01,0,3,,,,,-682.966886399724,-693.865254653525,-672.068518145922,6.62573743658874,-6.09586207172468,-9.41842052684354,-2.77330361660582,2.01997211221572
D01,1,3,B38,TRUE,3,1,-678.930790529153,-690.366572373362,-667.495008684943,6.9524617004397,-2.05976620115367,-3.81016588470571,-0.309366517601638,1.06416744619166
D01,2,3,D33,TRUE,2,0.982248520710059,-678.952058367817,-690.531205164354,-667.372911571281,7.03962140266369,-2.08103403981843,-3.33470196106926,-0.827366118567606,0.762175977673065
D01,3,3,C04,TRUE,1,1,-676.871024327999,-688.469567534312,-665.272481121686,7.05141358250176,0,0,0,0
D01,4,3,A26,FALSE,0,0.976331360946746,-677.323693191674,-688.927227889777,-665.72015849357,7.05444819403735,-0.452668863674929,-0.992872722047187,0.0875349946973289,0.328420626322512
D01,5,3,D34,FALSE,1,0.98422090729783,-677.431197194429,-689.041298464982,-665.821095923876,7.05844038662036,-0.560172866430249,-1.17107680349795,0.0507310706374554,0.371403222182109
D01,6,3,A20,FALSE,0,0.877712031558185,-679.490539799607,-691.104130625542,-667.876948973673,7.060561885655,-2.61951547160858,-3.49863590998461,-1.74039503323256,0.534467276583973
D01,7,3,A33,FALSE,0,0.621301775147929,-680.490536992324,-692.117090303621,-668.863983681027,7.06844251718945,-3.61951266432538,-4.69963742929062,-2.53938789936014,0.656669230177714
D01,8,3,A23,FALSE,1,0.70414201183432,-680.826441395353,-692.462216535008,-669.190666255699,7.07404899074223,-3.95541706735457,-5.16986254711948,-2.74097158758966,0.738330426407443
D01,9,3,A34,FALSE,0,0.650887573964497,-680.542133489368,-692.232517693837,-668.851749284899,7.10724894478026,-3.671109161369,-4.95231730002164,-2.38990102271636,0.778919240994833
D01,10,3,A36,FALSE,1,0.940828402366864,-679.767283095458,-691.500538678744,-668.034027512171,7.13331289242571,-2.89625876745868,-4.25362724942333,-1.53889028549403,0.825221442032118
D01,11,3,A30,FALSE,0,0.745562130177515,-679.561146575468,-691.269482777071,-667.852810373864,7.11816298408499,-2.69012224746862,-4.11137600071914,-1.26886849421811,0.864060929168894
D01,12,3,A25,FALSE,0,0.550295857988166,-679.653800895744,-691.344973056044,-667.962628735445,7.10772798791074,-2.78277656774546,-4.23585178748442,-1.3297013480065,0.883407007121996
D01,13,3,A18,FALSE,0,0.814595660749507,-679.152865736356,-690.874549270597,-667.431182202115,7.12627758614952,-2.28184140835737,-3.80787626015079,-0.75580655656395,0.927763313883274
D01,14,3,D35,FALSE,1,0.773175542406312,-679.061707790275,-690.799154279098,-667.324261301451,7.13586078207897,-2.19068346227574,-3.72870091139244,-0.652666013159043,0.935048215790009
D01,15,3,E09,FALSE,0,0.93491124260355,-678.494555494692,-690.275751488893,-666.713359500491,7.16245859276622,-1.62353116669327,-3.21481618090103,-0.0322461524855,0.967432595906429
D01,16,3,A31,FALSE,1,0.968441814595661,-677.990254123459,-689.755489737827,-666.225018509092,7.15275537080634,-1.11922979546027,-2.74603452209925,0.507574931178714,0.989027047746528
D01,17,3,C02,FALSE,0,0.27810650887574,-679.722492420039,-691.455669769405,-667.989315070672,7.13326532958006,-2.85146809203957,-4.48350321819903,-1.2194329658801,0.992206904868635
D01,18,3,C09,FALSE,0,0.54043392504931,-680.3193858332,-692.070378064131,-668.568393602268,7.14409600853692,-3.44836150520076,-5.09561457698499,-1.80110843341654,1.00145875887887
D01,19,3,B04,FALSE,0,0.810650887573965,-680.672436548277,-692.436303451867,-668.908569644687,7.15192325373831,-3.80141222027818,-5.46411404569833,-2.13871039485803,1.01085093419635
D01,20,3,B35,FALSE,0,0.788954635108481,-680.616009138029,-692.369712094688,-668.86230618137,7.14574401276237,-3.74498481002995,-5.42635288310796,-2.06361673695194,1.0221992069861
D01,21,3,E02,FALSE,0,0.613412228796844,-680.631477233895,-692.378604155968,-668.884350311821,7.14174606760944,-3.76045290589584,-5.45635762524612,-2.06454818654555,1.03103686040042
D01,22,3,B33,FALSE,0,0.593688362919132,-680.543928612972,-692.273452669604,-668.814404556341,7.13104428530253,-3.67290428497309,-5.36961420137236,-1.97619436857383,1.03152638544738
D01,23,3,B40,FALSE,1,0.583826429980276,-680.688175402829,-692.423378950863,-668.952971854796,7.13449717090232,-3.8171510748304,-5.54823713443261,-2.08606501522818,1.05242559656239
D01,24,3,C03,FALSE,1,0.581854043392505,-680.756430009642,-692.498424452119,-669.014435567166,7.13862574157372,-3.88540568164342,-5.60908722124368,-2.16172414204317,1.04792396804017
