resp,size,size.sel,expl,selected,count.sel,cv_prop,elpd,elpd.lq,elpd.uq,elpd.se,diff,diff.lq,diff.uq,diff.se
D01,0,1,,,,,-336.877983244588,-342.429231690675,-331.326734798501,5.55124844608717,-0.872600694711099,-1.22382605631445,-0.52137533310775,0.351225361603349
D01,1,1,B38,TRUE,2,1,-336.325740675533,-341.868276962357,-330.78320438871,5.54253628682309,-0.320358125656292,-0.587201231755996,-0.0535150195565887,0.266843106099703
D01,2,1,A20,FALSE,0,0.303747534516765,-338.047631625584,-343.622680418339,-332.472582832829,5.57504879275547,-2.04224907570685,-2.25279056753672,-1.83170758387698,0.210541491829867
D01,3,1,A34,FALSE,0,0.816568047337278,-337.671710369535,-343.241155206344,-332.102265532727,5.56944483680879,-1.66632781965828,-1.85135978898513,-1.48129585033143,0.185031969326851
D01,4,1,C04,FALSE,0,0.90138067061144,-336.626048884667,-342.178913434737,-331.073184334596,5.55286455007028,-0.62066633478955,-0.791701482327631,-0.449631187251469,0.171035147538081
D01,5,1,A35,FALSE,0,0.980276134122288,-336.11323731327,-341.657477324295,-330.568997302245,5.54424001102524,-0.107854763392892,-0.256543320933842,0.0408337941480589,0.148688557540951
D01,6,1,A26,FALSE,3,0.936883629191322,-336.305069853284,-341.855016652533,-330.755123054034,5.54994679924942,-0.299687303406427,-0.438645763778667,-0.160728843034186,0.138958460372241
D01,7,1,A18,FALSE,0,0.800788954635108,-336.64581647373,-342.21025218751,-331.08138075995,5.56443571378008,-0.640433923852576,-0.759261308061627,-0.521606539643525,0.118827384209051
D01,8,1,A30,FALSE,1,0.930966469428008,-336.564707935518,-342.132421181682,-330.996994689354,5.567713246164,-0.559325385640751,-0.628491189703318,-0.490159581578183,0.0691658040625674
D01,9,1,E02,FALSE,0,1,-336.005382549877,-341.549429491376,-330.461335608378,5.54404694149915,0,0,0,0
D01,10,1,A24,FALSE,0,0.785009861932939,-336.442638345718,-341.998311838308,-330.886964853129,5.55567349258951,-0.437255795841036,-0.490633960824968,-0.383877630857105,0.0533781649839314
D01,11,1,A25,FALSE,0,0.887573964497041,-336.492008315706,-342.052393839203,-330.931622792209,5.56038552349724,-0.486625765829042,-0.561425129546797,-0.411826402111287,0.0747993637177551
D01,12,1,E09,FALSE,0,0.82051282051282,-336.490068651425,-342.0466796872,-330.933457615651,5.55661103577432,-0.48468610154802,-0.577047288966725,-0.392324914129315,0.092361187418705
D01,13,1,A21,FALSE,0,0.96646942800789,-336.271100484085,-341.820228002058,-330.721972966112,5.54912751797313,-0.265717934207641,-0.36310232411982,-0.168333544295462,0.097384389912179
D01,14,1,D34,FALSE,0,0.911242603550296,-336.207387178714,-341.753272814281,-330.661501543146,5.54588563556745,-0.202004628836448,-0.309909353402743,-0.0940999042701541,0.107904724566294
D01,15,1,D33,FALSE,1,0.73767258382643,-336.401631191008,-341.9515102179,-330.851752164115,5.54987902689278,-0.396248641130372,-0.514520885441291,-0.277976396819453,0.118272244310919
D01,16,1,E05,FALSE,0,0.362919132149901,-336.574528555783,-342.124722422874,-331.024334688692,5.55019386709111,-0.569146005906307,-0.69470717284475,-0.443584838967865,0.125561166938442
D01,17,1,C18,FALSE,0,0.808678500986193,-336.627149310536,-342.184223551104,-331.070075069968,5.55707424056785,-0.621766760658792,-0.757786204860591,-0.485747316456993,0.136019444201799
D01,18,1,E11,FALSE,0,0.857988165680473,-336.620058602882,-342.181698836361,-331.058418369403,5.56164023347907,-0.614676053004846,-0.751910180392791,-0.477441925616901,0.137234127387945
D01,19,1,A33,FALSE,0,0.806706114398422,-336.745510115951,-342.311341059092,-331.17967917281,5.56583094314114,-0.740127566073663,-0.886599477215039,-0.593655654932287,0.146471911141376
D01,20,1,C03,FALSE,0,0.652859960552268,-336.819722367334,-342.385323882805,-331.254120851863,5.56560151547083,-0.814339817456639,-0.962370220819723,-0.666309414093555,0.148030403363084
D01,21,1,A03,FALSE,1,0.660749506903353,-336.757196811485,-342.325864400667,-331.188529222303,5.56866758918165,-0.751814261607823,-0.907115729190685,-0.596512794024961,0.155301467582862
D01,22,1,C02,FALSE,0,0.781065088757396,-336.710154067398,-342.279900194887,-331.14040793991,5.56974612748862,-0.704771517521315,-0.859647911336311,-0.549895123706319,0.154876393814996
D01,23,1,F11,FALSE,0,0.463510848126233,-336.843446108576,-342.407795079756,-331.279097137395,5.56434897118045,-0.838063558698475,-0.995783834778615,-0.680343282618335,0.15772027608014
D01,24,1,A32,FALSE,0,0.564102564102564,-336.925605745173,-342.48665240784,-331.364559082506,5.56104666266672,-0.920223195295731,-1.08138139423891,-0.759064996352548,0.161158198943183
D01,25,1,B14,FALSE,0,0.297830374753452,-336.961601565417,-342.521972097655,-331.40123103318,5.56037053223758,-0.956219015540098,-1.12155383547671,-0.790884195603491,0.165334819936607
D01,Inf,1,,,,,-336.746255860829,-342.303229962179,-331.18928175948,5.55697410134977,-0.74087331095225,-0.942996357073843,-0.538750264830658,0.202123046121593
D02,0,4,,,,,-220.463774464772,-234.299072966642,-206.628475962903,13.8352985018698,-2.14832180139391,-2.91394151599375,-1.38270208679408,0.765619714599838
D02,1,4,F15,TRUE,2,1,-219.574804954628,-233.343313766226,-205.80629614303,13.768508811598,-1.25935229124971,-1.85559647955437,-0.663108102945061,0.596244188304653
D02,2,4,A36,TRUE,1,0.544378698224852,-221.685268888603,-235.586934996119,-207.783602781088,13.9016661075153,-3.36981622522491,-3.84711141004035,-2.89252104040946,0.477295184815446
D02,3,4,B04,TRUE,1,0.834319526627219,-220.9233021293,-234.742903409031,-207.10370084957,13.8196012797303,-2.60784946592179,-3.00490731825431,-2.21079161358926,0.397057852332524
D02,4,4,B38,TRUE,2,0.996055226824458,-218.785709188631,-232.512932677778,-205.058485699483,13.7272234891474,-0.470256525252021,-0.81477902305891,-0.125734027445133,0.344522497806889
